pl_name,hostname,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
11 Com b,11 Com,2,1,0,326.03000000,1.290000,12.100,1.080,6165.60000,19.40000,Msini,19.100000,0.231000,,,,,0,,,,,,,2452899.600000,94.8000,302.800,,,G8 III,4742.00,19.00,2.70,-0.350,[Fe/H],2.243,2.31,,,1.2000,,43.37
11 UMi b,11 UMi,1,1,0,516.21997000,1.530000,12.300,1.090,4684.81420,14.74000,Msini,13.800000,0.080000,,,,,0,,,,,,,2452861.040000,117.6300,189.700,,,K4 III,4213.00,29.79,2.78,-0.020,[Fe/H],2.430,1.93,1.560,,1.5000,,-17.52
14 And b,14 And,1,1,0,185.84000000,0.830000,12.900,1.150,1525.50000,4.80000,Msini,3.900000,0.000000,,,,,0,,,,,,,2452861.400000,0.0000,100.000,,,K0 III,4813.00,11.00,2.20,-0.240,[Fe/H],1.763,2.63,4.500,,2.6000,,-59.73
14 Her b,14 Her,1,2,0,1773.40002000,2.930000,12.900,1.150,1481.08780,4.66000,Msini,3.790000,0.370000,,,,,0,,,,,,,2456834.400000,23.2000,90.000,,,K0 V,5338.00,0.93,0.90,0.410,[Fe/H],-0.153,4.45,3.900,1.27393,1.0000,,-13.82
16 Cyg B b,16 Cyg B,3,1,0,798.50000000,1.660000,13.500,1.200,565.73740,1.78000,Msini,1.260000,0.680000,,,,,0,,,,,,,2456937.320000,82.7400,50.500,,,G3 V,5750.00,1.13,1.08,0.060,[Fe/H],0.097,4.36,7.400,1.01103,2.7000,,-28.10
18 Del b,18 Del,2,1,0,993.30000000,2.600000,12.500,1.110,3273.50000,10.30000,Msini,9.210000,0.080000,,,,,0,,,,,,,2451672.000000,166.1000,119.400,,,G6 III,4979.00,8.50,2.30,-0.052,[Fe/H],1.602,2.82,1.100,,,,4.35
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,,330.000000,18.647,1.664,3000.00000,8.00000,Mass,2.540000,,,1700,,,0,,,,,,,,,,,,K7 V,4060.00,1.31,0.85,,,-0.370,4.00,0.005,0.38789,,,
24 Boo b,24 Boo,1,1,0,30.35060000,0.190000,13.900,1.240,289.22530,0.91000,Msini,0.592000,0.042000,,,,,0,,,,,,,2450008.600000,210.0000,59.900,,,G3 IV,4893.00,10.64,0.99,-0.770,[Fe/H],1.774,2.42,6.920,,3.3600,,-7.77
24 Sex b,24 Sex,1,2,0,452.80000000,1.333000,13.400,1.190,632.46000,1.99000,Msini,1.440000,0.090000,,,,,0,,,,,,,2454762.000000,9.2000,40.000,,,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,,2.7700,,7.29
24 Sex c,24 Sex,1,2,0,883.00000000,2.080000,13.900,1.240,273.32000,0.86000,Msini,0.559000,0.290000,,,,,0,,,,,,,2454930.000000,220.5000,14.500,,,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,,2.7700,,7.29
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,0,,84.000000,12.300,1.100,4131.79000,13.00000,Mass,12.200000,,,,,,0,,,,,,,,,,,,M5.5/M6,,,0.19,,,,,0.030,,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,,52.000000,11.209,1.000,7786.50000,24.50000,Mass,30.400000,,,1600,,,0,,,,,,,,,,,,M3.5 V,3530.00,0.37,0.40,,,-1.720,4.86,0.120,10.11868,,,9.60
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,,156.000000,16.141,1.440,4417.83700,13.90000,Mass,5.770000,,,,,,0,,,,,,,,,,,,M6,3064.00,0.28,0.11,,,-2.230,4.59,0.035,17.67076,6.5000,,10.60
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,,15.000000,12.600,1.130,2383.60000,7.50000,Mass,6.550000,,,,,,0,,,,,,,,,,,,M8.5,2936.00,0.23,0.02,,,-2.444,5.01,0.001,22.78110,,,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,,55.000000,12.900,1.150,1589.15000,5.00000,Mass,4.070000,,,1250,,,0,,,,,,,,,,,,M8,2825.00,0.22,0.02,,,-2.561,5.03,0.008,25.27945,,,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,0,416.00000000,0.920000,13.400,1.200,603.87700,1.90000,Mass,1.380000,,,,,,0,,,,,,,,,,,,,10868.00,0.34,0.48,-0.092,[Fe/H],0.168,3.91,,,,,
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,0,7336.50000000,,10.310,0.920,6657.48000,20.95000,Mass,33.400000,0.260000,,2075,46.200,,0,,,,,,,,223.0000,,,,M8.5,2300.00,0.12,0.08,,,-3.480,5.22,,63.55229,,,13.00
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,,230.000000,12.300,1.100,3972.87500,12.50000,Mass,11.700000,,,,,,0,,,,,,,,,,,,K7 V,4045.00,0.64,0.60,,,-1.021,4.62,0.120,3.36994,,,-21.50
30 Ari B b,30 Ari B,4,1,0,335.10001000,0.990000,12.300,1.100,4392.41060,13.82000,Msini,13.000000,0.290000,,,,,0,,,,,,,2454538.000000,307.0000,272.000,,,F6 V,6331.00,1.41,1.93,0.190,[Fe/H],0.381,4.43,0.910,0.74300,38.3000,,12.89
4 UMa b,4 UMa,1,1,0,269.30000000,0.870000,12.700,1.130,2256.50000,7.10000,Msini,6.050000,0.432000,,,,,0,,,,,,,2452987.393600,23.8100,215.550,,,K1 III,4415.00,18.11,1.23,-0.250,[Fe/H],2.062,1.80,4.604,,,,14.62
42 Dra b,42 Dra,2,1,0,479.10000000,1.190000,13.000,1.160,1233.13000,3.88000,Msini,3.080000,0.380000,,,,,0,,,,,,,2452757.400000,218.7000,110.500,,,K1.5 III,4200.00,22.03,0.98,-0.460,[Fe/H],2.155,1.71,9.490,,1.0000,,31.79
47 UMa b,47 UMa,1,3,0,1078.00000000,2.100000,13.200,1.180,804.08000,2.53000,Msini,1.920000,0.032000,,,,,0,,,,,,,2451917.000000,334.0000,48.400,,,G0 V,5872.00,1.21,1.06,0.040,[M/H],0.198,4.30,6.480,0.83662,2.8000,,11.22
47 UMa c,47 UMa,1,3,0,2391.00000000,3.600000,14.200,1.270,171.62100,0.54000,Msini,0.329000,0.098000,,,,,0,,,,,,,2452441.000000,295.0000,8.000,,,G1 V,5872.00,1.21,1.06,0.040,[M/H],0.198,4.30,6.480,0.83662,2.8000,,11.22
47 UMa d,47 UMa,1,3,0,14002.00000000,11.600000,13.500,1.200,521.22000,1.64000,Msini,1.160000,0.160000,,,,,0,,,,,,,2451736.000000,110.0000,13.800,,,G0V,5872.00,1.21,1.06,0.040,[M/H],0.198,4.30,6.480,0.83662,2.8000,,11.22
51 Eri b,51 Eri,3,1,0,11688.00000000,12.000000,13.400,1.190,635.66000,2.00000,Mass,1.450000,0.450000,,700,133.000,,0,,,,,,,2455563.000000,87.0000,,,,F0 IV,7295.00,1.49,1.65,-0.027,[M/H],0.752,4.31,0.020,0.70712,65.1900,,17.30
51 Peg b,51 Peg,1,1,0,4.23078500,0.052700,14.300,1.270,146.20180,0.46000,Mass,0.275000,0.013000,,,80.000,,0,,,,,,,2450001.510000,58.0000,55.940,,,G5V,5758.00,1.18,1.03,0.180,[M/H],0.136,4.31,10.000,0.89374,2.2000,30.00,-33.25
55 Cnc b,55 Cnc,2,5,0,14.65160000,0.113400,13.900,1.240,263.97850,0.83060,Mass,0.540000,0.000000,,700,89.730,,0,,,,,,,2453021.080000,-21.5000,71.370,,,K0 IV-V,5172.00,0.94,0.91,0.350,[Fe/H],-0.197,4.43,5.500,1.41851,1.2300,38.80,27.25
55 Cnc c,55 Cnc,2,5,0,44.39890000,0.237300,8.510,0.760,54.47380,0.17140,Mass,0.486000,0.030000,,,89.730,,0,,,,,,,2453028.630000,2.4000,9.890,,,G8V,5172.00,0.94,0.91,0.350,[Fe/H],-0.197,4.43,10.200,1.41851,1.2300,38.80,27.41
55 Cnc d,55 Cnc,2,5,0,5574.20000000,5.957000,13.000,1.160,1232.49300,3.87800,Mass,3.080000,0.130000,,,89.730,,0,,,,,,,2452837.690000,-69.1000,38.600,,,G8 V,5172.00,0.94,0.91,0.350,[Fe/H],-0.197,4.43,5.500,1.41851,1.2300,38.80,27.25
55 Cnc e,55 Cnc,2,5,0,0.73654740,0.015440,1.875,0.167,7.99000,0.02514,Mass,6.660000,0.050000,,1958,83.590,2457063.209600,0,0.3900,0.038000,1.5792000,3.520000,0.01820,0.008300,2447578.215900,86.0000,6.020,72.40,,G8 V,5172.00,0.94,0.91,0.350,[Fe/H],-0.197,4.43,10.200,1.41000,1.2300,38.80,27.41
55 Cnc f,55 Cnc,2,5,0,259.88000000,0.770800,7.590,0.677,44.81200,0.14100,Mass,0.563000,0.080000,,,89.730,,0,,,,,,,2447488.000000,-97.6000,5.140,,,G8V,5172.00,0.94,0.91,0.350,[Fe/H],-0.197,4.43,10.200,1.41851,1.2300,38.80,27.41
6 Lyn b,6 Lyn,1,1,0,934.30000000,2.110000,13.400,1.190,638.83830,2.01000,Msini,1.460000,0.073000,,,,,0,,,,,,,2455384.000000,130.0000,32.800,,,K0 IV,4938.00,5.20,1.44,-0.130,[Fe/H],1.176,3.19,2.353,,1.3200,,39.70
61 Vir b,61 Vir,1,3,0,4.21500000,0.050201,2.110,0.188,5.10000,0.01600,Msini,2.980000,0.120000,,,,,0,,,,,,,2455200.700000,105.0000,2.120,,,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,8.960,1.44933,1.9000,,-8.20
61 Vir c,61 Vir,1,3,0,38.02100000,0.217500,4.460,0.398,18.20000,0.05700,Msini,1.130000,0.140000,,,,,0,,,,,,,2454922.480000,341.0000,3.620,,,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,8.960,1.44933,1.9000,,-8.20
61 Vir d,61 Vir,1,3,0,123.01000000,0.476000,5.110,0.456,22.90000,0.07200,Msini,0.943000,0.350000,,,,,0,,,,,,,,314.0000,3.250,,,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,8.960,1.44933,1.9000,,-8.20
7 CMa b,7 CMa,1,2,0,735.10000000,1.758000,13.400,1.200,587.98550,1.85000,Msin(i)/sin(i),1.340000,0.060000,,,90.000,,0,,,,,,,2454093.000000,165.3000,34.300,,,K1 III,4826.00,4.87,1.34,0.210,[Fe/H],1.063,3.19,4.300,,1.1500,,
7 CMa c,7 CMa,1,2,0,996.00000000,2.153000,13.900,1.240,276.51210,0.87000,Msin(i)/sin(i),0.566000,0.080000,,,90.000,,0,,,,,,,,233.5000,14.900,,,K1III(+M),4826.00,4.87,1.34,0.210,[Fe/H],1.063,3.19,4.300,,1.1500,,
70 Vir b,70 Vir,1,1,0,116.68800000,0.481000,12.600,1.130,2380.45000,7.49000,Mass,6.540000,0.398800,,,,,0,,,,,,,2455291.721000,359.8300,316.200,,,G5V,5495.00,1.89,1.09,-0.090,[Fe/H],0.451,3.95,7.770,0.19024,1.5600,,4.95
75 Cet b,75 Cet,2,1,0,691.90000000,2.100000,13.100,1.170,953.49000,3.00000,Msini,2.330000,0.117000,,,,,0,,,,,,,2452213.000000,165.0000,38.300,,,G3 III,4846.00,10.50,2.49,0.000,[Fe/H],1.730,2.63,,,1.7700,,-6.21
8 UMi b,8 UMi,1,1,0,93.40000000,0.490000,13.600,1.220,416.35730,1.31000,Msini,0.910000,0.060000,,,,,0,,,,,,,2454108.500000,91.0000,46.100,,,K0,4847.00,10.30,1.44,-0.030,[Fe/H],1.725,2.57,1.700,,3.6000,,-9.20
81 Cet b,81 Cet,1,1,0,952.70000000,2.500000,12.800,1.140,1684.40000,5.30000,Msini,4.410000,0.206000,,,,,0,,,,,,,2452486.000000,175.0000,62.800,,,G5 III,4785.00,11.00,2.40,-0.060,[Fe/H],1.778,2.35,,,1.8000,,9.25
91 Aqr b,91 Aqr,3,1,0,181.40000000,0.700000,13.100,1.170,1017.00000,3.20000,Msini,2.490000,0.027000,,,,,0,,,,,,,2453472.100000,177.3000,91.500,,,K0 III,4665.00,11.00,1.40,-0.030,[Fe/H],1.692,2.52,3.560,,3.9000,,-25.75
AB Pic b,AB Pic,1,1,0,,260.000000,12.300,1.100,4290.50000,13.50000,Mass,12.700000,,,,,,0,,,,,,,,,,,,K2 V,5285.00,1.00,0.90,0.040,[Fe/H],-0.226,4.53,0.030,1.12014,10.3500,,22.20
AU Mic b,AU Mic,1,1,0,8.46321000,0.066000,4.203,0.375,57.20940,0.18000,Msini,4.400000,0.100000,,,,2458330.391530,0,0.1600,,3.5000000,19.100000,0.05140,,,,28.000,,,M1VE,3700.00,0.75,0.50,,,-1.046,4.57,0.022,2.74466,8.7000,4.86,-6.31
BD+03 2562 b,BD+03 2562,1,1,0,481.90000000,1.300000,12.700,1.130,2034.11200,6.40000,Msini,5.460000,0.200000,,,,,0,,,,8.640000,,,2453726.000000,218.0000,155.700,,,,4095.00,32.35,1.14,-0.710,[Fe/H],2.700,1.89,5.200,,2.7000,,50.88
BD+14 4559 b,BD+14 4559,1,1,0,268.94000000,0.780000,13.800,1.230,330.54320,1.04000,Msini,0.691000,0.290000,,,,,0,,,,,,,2453293.710000,87.6400,55.200,,,K2 V,4864.00,0.86,0.49,0.170,[Fe/H],-0.320,4.26,,1.73113,2.5000,,-44.30
BD+15 2375 b,BD+15 2375,1,1,0,153.22000000,0.576000,13.800,1.230,337.21763,1.06100,Msini,0.705000,0.001000,,,,,0,,,,,,,2457680.500000,55.0000,38.300,,,G5,4649.00,8.95,1.08,-0.220,[Fe/H],1.570,2.61,7.410,,2.5000,,-9.65
BD+15 2940 b,BD+15 2940,1,1,0,137.48000000,0.539000,13.700,1.230,352.78000,1.11000,Msini,0.754000,0.260000,,,,,0,,,,,,,2453464.000000,302.0000,42.700,,,K0,4796.00,14.70,1.10,0.280,[Fe/H],2.010,2.80,7.100,,2.3000,,36.71
BD+20 2457 b,BD+20 2457,1,2,0,379.63000000,1.050000,11.600,1.030,17668.16970,55.59000,Msini,62.200000,0.150000,,,,,0,,,,,,,2454677.030000,207.6400,322.400,,,K2 II,4259.00,71.02,10.83,-0.790,[Fe/H],3.170,1.77,,,2.5000,,145.77
BD+20 2457 c,BD+20 2457,1,2,0,621.99000000,2.010000,12.400,1.100,3963.17000,12.47000,Msini,11.400000,0.180000,,,,,0,,,,,,,2453866.950000,126.0200,160.030,,,K2 II,4137.00,49.00,2.80,-1.000,[Fe/H],3.170,1.51,,,2.5000,,145.77
BD+20 274 b,BD+20 274,1,1,0,578.20000000,1.300000,13.000,1.160,1334.88600,4.20000,Msini,3.340000,0.210000,,,,,0,,,,,,,2453921.000000,108.5000,121.400,,,K5 III,4296.00,17.30,0.80,-0.460,[Fe/H],1.960,1.99,,,2.0000,,8.39
BD+20 594 b,BD+20 594,1,1,0,41.68550000,0.241000,2.578,0.230,22.24810,0.07000,Mass,7.890000,0.000000,,546,89.550,2457068.528770,0,,0.049000,,55.800000,0.02204,,,,3.100,,,G,5766.00,1.08,1.67,-0.150,[Fe/H],-0.056,4.50,3.340,1.89000,3.3000,,-20.34
BD+45 564 b,BD+45 564,1,1,0,307.88000000,0.830000,13.600,1.210,432.24663,1.36000,Msini,0.944000,0.120000,,,2.579,,0,,,,,,,,70.3100,47.680,,,K1,5004.00,0.81,0.81,-0.090,[Fe/H],-0.399,4.22,,2.22951,2.0000,,-6.82
BD+48 738 b,BD+48 738,1,1,0,392.60000000,1.000000,13.900,1.240,289.22530,0.91000,Msini,0.592000,0.200000,,,,,0,,,,,,,2454457.700000,358.9000,31.900,,,K0 III,4414.00,11.00,0.74,-0.200,[Fe/H],1.690,2.24,,,1.0000,,-5.81
BD+48 740 b,BD+48 740,1,1,0,733.00000000,1.700000,13.500,1.200,540.31100,1.70000,Msini,1.210000,0.760000,,,,,0,,,,,,,2454774.500000,100.0000,54.000,,,K3 III,4534.00,10.33,1.09,-0.130,[Fe/H],1.640,2.48,,,0.7000,746.00,-45.93
BD+49 828 b,BD+49 828,1,1,0,2590.00000000,4.200000,13.500,1.210,508.50000,1.60000,Msini,1.140000,0.350000,,,,,0,,,,,,,2455470.500000,170.0000,18.800,,,K0,4943.00,7.60,1.52,-0.190,[Fe/H],1.470,2.85,2.340,,1.7000,,3.61
BD+55 362 b,BD+55 362,1,1,0,265.59000000,0.780000,14.000,1.250,228.83645,0.72000,Msini,0.458000,0.270000,,,0.601,,0,,,,,,,2458194.190000,-134.4400,25.120,,,K3,5012.00,0.90,0.91,0.180,[Fe/H],-0.313,4.09,,1.66486,2.0000,,-25.65
BD+63 1405 b,BD+63 1405,1,1,0,1198.48000000,2.060000,13.000,1.160,1258.60049,3.96000,Msini,3.150000,0.880000,,,5.974,,0,,,,,,,,94.2500,186.010,,,K0,5000.00,0.80,0.82,-0.090,[Fe/H],-0.413,4.20,,2.29955,2.1000,,-15.33
BD-00 4475 b,BD-00 4475,1,1,0,723.20000000,1.480000,12.000,1.070,7961.60160,25.05000,Msini,25.300000,0.390000,,,13.310,,0,,,,,,,2458799.640000,-97.5500,711.210,,,G0,5040.00,0.84,0.81,-0.140,[Fe/H],-0.350,4.25,,2.05330,3.0000,,23.58
BD-06 1339 b,BD-06 1339,1,2,0,3.87280000,0.042800,2.850,0.254,8.50000,0.02700,Msini,2.020000,0.000000,,,,,0,,,,,,,2455220.500000,0.0000,4.400,,,K7/M0 V,4324.00,0.69,0.70,-0.140,[Fe/H],-1.022,4.74,4.400,2.74700,0.5700,,23.62
BD-06 1339 c,BD-06 1339,1,2,0,125.94000000,0.435000,8.380,0.747,53.00000,0.17000,Msini,0.495000,0.310000,,,,,0,,,,,,,2455265.200000,41.0000,9.100,,,K7/M0 V,4324.00,0.69,0.70,-0.140,[Fe/H],-1.022,4.74,4.400,2.74700,0.5700,,23.62
BD-08 2823 b,BD-08 2823,1,2,0,5.60000000,0.060000,3.610,0.322,12.71320,0.04000,Msini,1.480000,0.150000,,,,,0,,,,,,,2454637.700000,30.0000,6.500,,,K3 V,4816.00,0.71,0.50,-0.060,[Fe/H],-0.626,4.43,4.500,3.31801,1.4000,,53.34
BD-08 2823 c,BD-08 2823,1,2,0,237.60000000,0.680000,12.500,1.110,104.00000,0.33000,Msini,0.293000,0.190000,,,,,0,,,,,,,2454193.000000,-233.0000,13.400,,,K3 V,4746.00,0.72,0.74,-0.070,[Fe/H],-0.626,4.13,4.500,3.31801,1.4000,,53.34
BD-10 3166 b,BD-10 3166,1,1,0,3.48777000,0.040000,14.100,1.260,187.51970,0.59000,Msini,0.368000,0.020000,,,,,0,,,,,,,2451705.963000,35.0000,60.900,,,K0 V,5393.00,0.91,1.47,0.380,[Fe/H],-0.191,4.69,1.000,1.53276,0.9200,,26.40
BD-11 4672 b,BD-11 4672,1,2,0,1634.00000000,2.360000,14.100,1.250,206.58950,0.65000,Msini,0.405000,0.050000,,,,,0,,,,,,,2455899.000000,343.8800,14.880,,,K7 V,4550.00,0.64,0.65,-0.350,[Fe/H],-0.804,4.64,7.400,3.53000,1.0000,25.00,-87.30
BD-11 4672 c,BD-11 4672,1,2,0,74.20000000,0.300000,4.040,0.360,15.37000,0.04836,Msini,1.280000,0.400000,,,,,0,,,,,,,,245.9200,3.420,,,K7V,4550.00,0.64,0.65,-0.350,[Fe/H],-0.804,4.64,7.400,3.53000,1.0000,25.00,-87.30
BD-13 2130 b,BD-13 2130,1,1,0,714.29999000,1.660000,12.500,1.110,3108.37740,9.78000,Msini,8.750000,0.210000,,,,,0,,,,,,,2453213.000000,18.0000,137.600,,,G5 IV/V,4545.00,19.17,2.12,-0.080,[Fe/H],2.043,2.20,0.740,,,,18.31
BD-17 63 b,BD-17 63,1,1,0,655.60000000,1.340000,12.800,1.150,1620.90000,5.10000,Msini,4.250000,0.540000,,,,,0,,,,,,,2454627.100000,112.2000,173.300,,,K5 V,4714.00,0.69,0.74,-0.030,[Fe/H],-0.678,4.26,4.300,2.75844,1.5000,,3.40
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,0,10037.50000000,2.600000,12.400,1.110,3337.10000,10.50000,Mass,9.620000,,,370,,,0,,,,,,,,,,,,,580.50,,0.02,,,,4.72,,,,,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,0,8040000.00000000,200.000000,20.849,1.860,2479.06157,7.80000,Mass,1.500000,,,1800,,,0,,,,,,,,,,,,M9-L1,2320.00,0.24,0.01,,,-2.850,3.85,0.003,,,,
CHXR 73 b,CHXR 73,1,1,0,,210.000000,12.300,1.100,3994.48600,12.56900,Mass,11.800000,,,,,,0,,,,,,,,,,,,M3.5,3099.00,,0.35,,,,,0.002,,,,
CI Tau b,CI Tau,1,1,0,8.98910000,,12.400,1.110,3686.82800,11.60000,Mass,10.600000,0.250000,,,50.500,,0,,,,,,,,31.0000,950.000,,,K7,3807.00,1.88,0.90,,,-0.108,,0.003,,,,18.00
CT Cha b,CT Cha,1,1,0,,440.000000,24.660,2.200,5403.00000,17.00000,Mass,1.980000,,,2600,,,0,,,,,,,,,,,,K5e,4403.00,1.68,,-0.560,[Fe/H],-0.102,3.66,0.002,,13.9700,,
CoRoT-1 b,CoRoT-1,1,1,0,1.50895570,0.027520,16.700,1.490,327.35000,1.03000,Mass,0.380000,0.000000,,1898,85.100,2454159.453200,0,0.3500,1.926540,,4.920000,0.13880,,,,188.000,77.00,,G0 V,5950.00,1.11,0.95,-0.300,[M/H],0.298,4.25,1.600,0.93000,5.2000,,23.35
CoRoT-10 b,CoRoT-10,1,1,0,13.24060000,0.105500,10.870,0.970,874.00000,2.75000,Mass,3.700000,0.530000,,600,88.550,2454273.343600,0,0.8500,1.610360,2.9800000,31.330000,0.12690,,2454990.850000,218.9000,301.000,,,K1 V,5075.00,0.79,0.89,0.260,[Fe/H],-0.726,4.65,3.000,3.32000,2.0000,,15.33
CoRoT-11 b,CoRoT-11,1,1,0,2.99433000,0.043600,16.030,1.430,740.51000,2.33000,Mass,0.990000,0.000000,,1657,83.170,2454597.679000,0,0.8180,1.144900,2.5009000,6.890000,0.10700,,,,280.000,0.10,,F6 V,6440.00,1.37,1.27,-0.030,[Fe/H],0.378,4.22,2.000,0.69000,40.0000,,-1.34
CoRoT-12 b,CoRoT-12,1,1,0,2.82804200,0.040160,16.140,1.440,291.43800,0.91700,Mass,0.411000,0.070000,,1442,85.480,2454398.627070,0,0.5730,1.744000,2.5742400,8.097200,0.13140,,,105.0000,125.500,,,,5675.00,1.12,1.08,0.160,[Fe/H],0.070,4.38,6.300,1.08000,1.0000,,
CoRoT-13 b,CoRoT-13,1,1,0,4.03519000,0.051000,9.920,0.885,415.70400,1.30800,Mass,2.340000,0.000000,,1700,88.020,2454790.809100,0,0.3740,,3.1400000,10.810000,0.09090,,,,157.800,,,G0 V,5945.00,1.01,1.09,0.010,[Fe/H],0.073,4.46,1.635,1.46800,4.0000,,22.45
CoRoT-14 b,CoRoT-14,1,1,0,1.51214000,0.027000,12.220,1.090,2415.40000,7.60000,Mass,7.300000,0.000000,,1952,79.600,2454787.669400,0,0.8600,,1.6620000,4.780000,0.09250,,2454787.670200,,1230.000,,,F9 V,6035.00,1.21,1.13,0.050,[Fe/H],0.119,4.35,4.200,0.91000,9.0000,,
CoRoT-16 b,CoRoT-16,1,1,0,5.35227000,0.061800,13.110,1.170,170.03200,0.53500,Mass,0.440000,0.330000,,,85.010,2454923.913800,0,0.8250,1.020000,2.3900000,11.200000,0.10100,,,168.4100,61.960,,,G5 V,5650.00,1.19,1.10,0.190,[M/H],-0.435,4.36,6.730,0.93000,1.0000,,
CoRoT-17 b,CoRoT-17,1,1,0,3.76810000,0.046100,11.430,1.020,772.29000,2.43000,Mass,2.820000,0.000000,,1626,88.340,2454923.309300,0,0.1800,0.440000,4.7200100,6.230000,,,2454923.309300,0.0000,312.400,,,G2 V,5740.00,1.59,1.04,0.000,[Fe/H],0.134,4.40,10.700,0.32000,4.5000,,54.77
CoRoT-18 b,CoRoT-18,1,1,0,1.90006930,0.029500,14.680,1.310,1102.82000,3.47000,Mass,2.200000,0.080000,,1550,86.500,2455321.724120,0,0.4000,,2.3870000,6.350000,0.13410,,,,590.000,-10.00,20.00,G9 V,5440.00,1.00,0.95,-0.100,[Fe/H],-0.170,4.40,0.032,1.35000,8.0000,5.40,29.55
CoRoT-19 b,CoRoT-19,1,1,0,3.89713000,0.051800,14.460,1.290,352.78000,1.11000,Mass,0.710000,0.047000,,2000,88.000,2455257.441020,0,0.2400,,4.7000000,6.700000,0.07860,,,,126.000,-52.00,,F9 V,6090.00,1.65,1.21,-0.020,[Fe/H],0.544,4.07,5.000,0.38000,6.0000,,24.16
CoRoT-2 b,CoRoT-2,2,1,0,1.74299350,0.027980,16.432,1.466,1102.82000,3.47000,Mass,1.470000,0.014300,,1521,88.080,2454237.535560,1,0.2210,2.750000,2.2670400,6.765900,0.16820,,2454237.535620,102.0000,603.000,4.00,,,5625.00,0.91,0.96,0.040,[Fe/H],-0.131,4.53,2.700,1.81400,10.8700,4.52,23.25
CoRoT-20 b,CoRoT-20,1,2,0,9.24285000,0.090000,9.416,0.840,1366.66900,4.30000,Mass,8.870000,0.590000,,1024,88.210,2455266.000100,0,0.2600,,2.2248000,18.950000,0.08420,,2455265.790740,60.1000,467.000,,,G2 V,5880.00,1.02,1.14,0.140,,0.170,4.35,0.100,1.51000,4.5000,,60.62
CoRoT-20 c,CoRoT-20,1,2,0,1675.00000000,2.900000,12.200,1.090,5403.11000,17.00000,Msini,16.400000,0.600000,,,,,0,,,,,,,2454136.000000,65.0000,326.000,,,G2 V,4947.50,1.37,1.14,0.140,,0.006,4.35,0.100,1.51000,4.5000,,60.62
CoRoT-21 b,CoRoT-21,1,1,0,2.72474000,0.041700,14.572,1.300,718.29580,2.26000,Mass,1.360000,0.000000,,,86.800,2454399.028200,0,0.2500,,4.7600000,4.600000,0.06700,,,,274.000,,,F8 IV,6200.00,1.95,1.29,0.000,[Fe/H],0.705,3.70,4.100,0.25500,11.0000,,101.00
CoRoT-22 b,CoRoT-22,1,1,0,9.75598000,0.092000,4.880,0.435,12.20000,0.03800,Mass,0.249000,0.077000,,885,89.749,2454598.420140,0,0.0120,,4.4920000,17.300000,0.03927,,,210.0000,3.700,,,G3 V,5939.00,1.14,1.10,0.170,[Fe/H],0.014,4.36,3.300,1.02700,4.0000,,
CoRoT-23 b,CoRoT-23,1,1,0,3.63130000,0.048000,11.770,1.050,889.90000,2.80000,Mass,3.000000,0.160000,,1660,85.700,2455308.939000,0,0.5600,,3.8880000,6.850000,0.06710,,,52.0000,377.000,,,G0 V,5900.00,1.61,1.14,0.050,[Fe/H],0.087,4.30,7.200,0.50000,9.0000,,-35.18
CoRoT-24 b,CoRoT-24,1,2,0,5.11340000,0.056000,3.700,0.330,5.70000,0.01800,Mass,0.900000,0.000000,,1070,86.500,2454789.611000,0,0.6500,,2.8500000,10.900000,0.03700,,,,2.100,,,K1 V,4950.00,0.86,0.91,0.300,[Fe/H],-0.601,4.55,11.000,1.94863,2.0000,,51.37
