pl_name,hostname,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
Kepler-1699 b,Kepler-1699,1,1,0,3.49082000,0.041800,1.567,0.140,3.08000,0.00968,M-R relationship,4.400000,0.000000,245.65,1010,89.640,2454966.102690,0,0.1160,0.033680,1.4513000,18.570000,0.01673,,,,,,,,5575.53,0.72,0.81,0.225,[M/H],-0.339,4.62,,9.94108,,,
Kepler-17 b,Kepler-17,1,1,0,1.48571080,0.025910,14.680,1.310,778.65000,2.45000,Mass,1.350000,0.011000,1481.77,1570,87.200,2455185.678035,1,0.2680,2.180190,2.2764000,5.480000,0.13031,0.005800,,,419.500,0.00,0.00,G2 V,5781.00,1.01,1.04,0.260,[M/H],0.012,4.45,1.800,1.42165,6.0000,12.01,-24.81
Kepler-170 b,Kepler-170,1,2,0,7.93059200,0.080000,3.200,0.285,82.60000,0.26000,Mass,13.900000,0.000000,136.52,899,87.790,2455002.515820,0,0.7600,0.082610,3.6800000,9.500000,0.03048,,,,,,,,5679.00,1.03,1.09,0.310,[Fe/H],-0.055,4.45,1.800,0.91343,,,
Kepler-170 c,Kepler-170,1,2,0,16.66586300,0.131000,2.860,0.255,8.55000,0.02690,M-R relationship,2.010000,0.000000,50.68,702,89.130,2455013.201770,0,0.4200,0.075420,4.2000000,31.284000,0.02931,,,,,,,,5679.00,1.03,1.09,0.310,[Fe/H],-0.055,4.45,1.800,2.08535,,,
Kepler-1700 b,Kepler-1700,1,1,0,234.23900000,0.757600,2.901,0.259,8.76000,0.02760,M-R relationship,1.970000,0.000000,2.77,329,89.020,2455043.809850,0,0.9440,0.046650,12.9250000,55.400000,0.02461,,,,,,,,6031.00,1.09,1.12,0.160,[Fe/H],0.154,4.41,,1.20694,,,
Kepler-1701 b,Kepler-1701,1,1,0,169.13400000,0.560800,2.222,0.198,5.57000,0.01750,M-R relationship,2.790000,0.000000,1.31,273,89.570,2455034.814934,0,0.1775,0.067160,8.6140000,151.200000,0.02338,,,,,,,,5146.00,0.84,0.87,0.030,[M/H],-0.351,4.53,,2.06781,,,
Kepler-1702 b,Kepler-1702,1,1,0,18.50120000,0.127500,1.602,0.143,3.20000,0.01010,M-R relationship,4.280000,0.000000,22.40,555,88.720,2454982.175690,0,0.2241,0.042110,3.1790000,44.000000,0.01915,,,,,,,,5093.00,0.73,0.85,-0.240,[Fe/H],-0.496,4.65,,3.13500,,,
Kepler-171 b,Kepler-171,1,3,0,4.16697200,0.050000,2.340,0.209,6.08000,0.01910,M-R relationship,2.610000,0.000000,304.18,1053,89.890,2455002.714150,0,0.0500,0.087990,2.7410000,11.973000,0.02662,,,,,,,,5642.00,0.84,0.91,0.110,[M/H],-0.079,4.57,3.470,1.82708,,,
Kepler-171 c,Kepler-171,1,3,0,11.46346200,0.098000,2.560,0.228,7.08000,0.02230,M-R relationship,2.320000,0.000000,78.91,752,89.830,2454970.384280,0,0.0400,0.102450,2.5660000,34.510000,0.02905,,,,,,,,5642.00,0.84,0.91,0.110,[M/H],-0.079,4.57,3.470,6.28804,,,
Kepler-171 d,Kepler-171,1,3,0,39.59551900,0.223000,1.890,0.169,4.23000,0.01330,M-R relationship,3.440000,0.000000,15.10,497,89.800,2455001.119220,1,0.5800,0.048960,6.3150000,47.010000,0.02032,,,,,,,,5642.00,0.84,0.91,0.110,[M/H],-0.079,4.57,3.470,0.65169,,,
Kepler-172 b,Kepler-172,1,4,0,2.94030900,0.040000,2.350,0.210,6.12000,0.01930,M-R relationship,2.590000,0.000000,639.48,1256,80.640,2455002.903400,0,0.1400,0.047240,2.5950000,8.983900,0.02012,,,,,,,,5526.00,1.08,1.00,0.230,[Fe/H],-0.032,4.38,6.460,1.58662,,,
Kepler-172 c,Kepler-172,1,4,0,6.38899600,0.068000,2.860,0.255,8.55000,0.02690,M-R relationship,2.010000,0.000000,227.22,970,83.260,2455008.474340,0,0.8100,0.054330,3.3890000,15.110000,0.02141,,,,,,,,5526.00,1.08,1.00,0.230,[Fe/H],-0.032,4.38,6.460,1.59738,,,
Kepler-172 d,Kepler-172,1,4,0,14.62711900,0.118000,2.250,0.201,5.69000,0.01790,M-R relationship,2.740000,0.000000,75.29,736,84.970,2454969.236720,0,0.0500,0.039640,3.5410000,17.100000,0.02014,,,,,,,,5526.00,1.08,1.00,0.230,[Fe/H],-0.032,4.38,6.460,1.98664,,,
Kepler-172 e,Kepler-172,1,4,0,35.11873600,0.211000,2.760,0.246,8.05000,0.02530,M-R relationship,2.100000,0.000000,23.43,550,87.490,2454985.119350,0,0.6000,0.054240,3.5590000,76.320000,0.02195,,,,,,,,5526.00,1.08,1.00,0.230,[Fe/H],-0.032,4.38,6.460,6.81939,,,
Kepler-173 b,Kepler-173,1,2,0,4.26374200,0.048000,1.290,0.115,2.21000,0.00696,M-R relationship,5.660000,0.000000,599.50,1179,88.440,2454966.720310,0,0.2500,0.018310,2.2610000,10.700000,0.01256,,,,,,,,6031.00,0.95,0.79,0.036,[M/H],0.074,4.40,3.300,2.66952,,,
Kepler-173 c,Kepler-173,1,2,0,8.00577700,0.074000,2.430,0.217,6.48000,0.02040,M-R relationship,2.480000,0.000000,258.42,956,89.740,2455003.503400,0,0.3700,0.065780,3.1290000,20.020000,0.02361,,,,,,,,6031.00,0.95,0.79,0.036,[M/H],0.074,4.40,3.300,2.36963,,,
