pl_name,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
Kepler-772 b,1,1,0,12.99207337,0.107100,1.820,0.162,3.97000,0.01250,3.620000,0.000000,264.58,866,0,5714.00,1.11,0.98,0.030,0.475,4.33,8.130,0.53550,,,
Kepler-773 b,1,1,0,3.74910006,0.047000,1.430,0.128,2.63000,0.00829,4.940000,0.000000,490.71,1160,0,5850.00,1.01,1.04,0.050,0.095,4.45,2.820,0.91462,,,
Kepler-774 b,1,1,0,11.08957230,0.111400,3.170,0.283,10.20000,0.03200,1.760000,0.000000,451.18,1422,0,6403.00,2.42,1.57,0.040,0.753,3.87,2.140,0.38065,,,
Kepler-775 b,1,1,0,0.97486893,0.018700,1.190,0.106,1.81000,0.00570,5.900000,0.000000,1496.75,1612,0,5468.00,0.84,0.92,-0.040,-0.267,4.56,1.860,1.97281,,,
Kepler-776 b,1,1,0,4.89718784,0.052300,1.280,0.114,2.18000,0.00687,5.710000,0.000000,135.08,904,0,5071.00,0.78,0.83,0.050,-0.437,4.58,4.370,7.27284,,,
Kepler-777 b,1,1,0,5.72812599,0.051900,1.470,0.131,2.76000,0.00869,4.770000,0.000000,33.95,569,0,4043.00,0.56,0.58,-0.170,-0.968,4.71,3.160,5.77301,,,
Kepler-778 b,1,1,0,3.75574426,0.045300,1.680,0.150,3.46000,0.01090,4.010000,0.000000,216.57,977,0,5102.00,0.77,0.81,-0.090,-0.413,4.58,5.250,2.72690,,,
Kepler-779 b,2,1,0,7.09714223,0.053300,0.920,0.082,0.72100,0.00227,5.090000,0.000000,15.03,425,0,3804.00,0.44,0.46,-0.430,-1.234,4.81,3.890,4.62877,,,
Kepler-78 b,2,1,0,0.35500744,,1.121,0.100,1.96716,0.00619,5.260000,0.000000,,2250,0,5089.00,0.75,0.84,-0.140,-0.498,4.60,0.625,2.84000,2.6000,,-3.51
Kepler-780 b,1,1,0,0.67737516,0.015000,0.890,0.079,0.64000,0.00201,4.990000,0.000000,4572.56,2099,0,5769.00,1.02,1.01,0.050,0.017,4.42,4.900,1.01394,,,
Kepler-781 b,1,1,0,13.21407320,0.101900,2.890,0.258,8.70000,0.02740,1.980000,0.000000,44.40,629,0,5162.00,0.78,0.81,-0.100,-0.384,4.58,4.900,1.84941,,,
Kepler-782 b,1,1,0,158.68533080,0.544400,3.210,0.286,10.40000,0.03270,1.730000,0.000000,3.99,350,0,5867.00,1.01,0.98,-0.140,0.110,4.42,5.250,0.94331,,,-67.61
Kepler-783 b,1,2,0,4.29264638,0.049100,0.780,0.070,0.39900,0.00126,4.620000,0.000000,229.10,991,0,5521.00,0.89,0.93,0.010,-0.231,4.51,3.890,0.90656,,,
Kepler-783 c,1,2,0,7.05395000,0.068400,2.332,0.208,6.04000,0.01900,2.620000,0.000000,117.33,840,0,5411.49,0.87,0.94,-0.030,-0.231,4.53,9.700,1.99808,,,
Kepler-784 b,1,1,0,31.59226460,0.196700,1.580,0.141,3.12000,0.00982,4.350000,0.000000,194.38,688,0,5674.00,1.32,1.00,0.070,0.857,4.19,9.120,0.05821,4.8000,,-0.56
Kepler-785 b,1,1,0,1.97376093,0.025000,13.020,1.162,,,,0.000000,163.86,753,0,4739.00,0.71,0.77,-0.020,-0.683,4.62,2.820,3.97867,,,
Kepler-786 b,1,1,0,53.52934870,0.254800,2.430,0.217,6.48000,0.02040,2.480000,0.000000,3.66,348,0,4838.00,0.74,0.81,0.090,-0.583,4.61,2.510,2.25989,,,
Kepler-787 b,1,1,0,0.92831050,0.015900,1.280,0.114,2.18000,0.00687,5.710000,0.000000,493.55,1115,0,4248.00,0.62,0.65,-0.090,-0.895,4.67,3.390,3.24108,,,
