pl_name,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
11 Com b,2,1,0,326.03000000,1.290000,12.100,1.080,6165.60000,19.40000,19.100000,0.231000,,,0,4742.00,19.00,2.70,-0.350,2.243,2.31,,,1.2000,,43.37
11 UMi b,1,1,0,516.21997000,1.530000,12.300,1.090,4684.81420,14.74000,13.800000,0.080000,,,0,4213.00,29.79,2.78,-0.020,2.430,1.93,1.560,,1.5000,,-17.52
14 And b,1,1,0,185.84000000,0.830000,12.900,1.150,1525.50000,4.80000,3.900000,0.000000,,,0,4813.00,11.00,2.20,-0.240,1.763,2.63,4.500,,2.6000,,-59.73
14 Her b,1,2,0,1773.40002000,2.930000,12.900,1.150,1481.08780,4.66000,3.790000,0.370000,,,0,5338.00,0.93,0.90,0.410,-0.153,4.45,3.900,1.27393,1.0000,,-13.82
16 Cyg B b,3,1,0,798.50000000,1.660000,13.500,1.200,565.73740,1.78000,1.260000,0.680000,,,0,5750.00,1.13,1.08,0.060,0.097,4.36,7.400,1.01103,2.7000,,-28.10
18 Del b,2,1,0,993.30000000,2.600000,12.500,1.110,3273.50000,10.30000,9.210000,0.080000,,,0,4979.00,8.50,2.30,-0.052,1.602,2.82,1.100,,,,4.35
1RXS J160929.1-210524 b,1,1,0,,330.000000,18.647,1.664,3000.00000,8.00000,2.540000,,,1700,0,4060.00,1.31,0.85,,-0.370,4.00,0.005,0.38789,,,
24 Boo b,1,1,0,30.35060000,0.190000,13.900,1.240,289.22530,0.91000,0.592000,0.042000,,,0,4893.00,10.64,0.99,-0.770,1.774,2.42,6.920,,3.3600,,-7.77
24 Sex b,1,2,0,452.80000000,1.333000,13.400,1.190,632.46000,1.99000,1.440000,0.090000,,,0,5098.00,4.90,1.54,-0.030,1.164,3.50,2.700,,2.7700,,7.29
24 Sex c,1,2,0,883.00000000,2.080000,13.900,1.240,273.32000,0.86000,0.559000,0.290000,,,0,5098.00,4.90,1.54,-0.030,1.164,3.50,2.700,,2.7700,,7.29
2MASS J01033563-5515561 AB b,2,1,0,,84.000000,12.300,1.100,4131.79000,13.00000,12.200000,,,,0,,,0.19,,,,0.030,,,,
2MASS J01225093-2439505 b,1,1,0,,52.000000,11.209,1.000,7786.50000,24.50000,30.400000,,,1600,0,3530.00,0.37,0.40,,-1.720,4.86,0.120,10.11868,,,9.60
2MASS J02192210-3925225 b,1,1,0,,156.000000,16.141,1.440,4417.83700,13.90000,5.770000,,,,0,3064.00,0.28,0.11,,-2.230,4.59,0.035,17.67076,6.5000,,10.60
2MASS J04414489+2301513 b,1,1,0,,15.000000,12.600,1.130,2383.60000,7.50000,6.550000,,,,0,2936.00,0.23,0.02,,-2.444,5.01,0.001,22.78110,,,
2MASS J12073346-3932539 b,1,1,0,,55.000000,12.900,1.150,1589.15000,5.00000,4.070000,,,1250,0,2825.00,0.22,0.02,,-2.561,5.03,0.008,25.27945,,,
2MASS J19383260+4603591 b,2,1,0,416.00000000,0.920000,13.400,1.200,603.87700,1.90000,1.380000,,,,0,10868.00,0.34,0.48,-0.092,0.168,3.91,,,,,
2MASS J21402931+1625183 A b,1,1,0,7336.50000000,,10.310,0.920,6657.48000,20.95000,33.400000,0.260000,,2075,0,2300.00,0.12,0.08,,-3.480,5.22,,63.55229,,,13.00
2MASS J22362452+4751425 b,1,1,0,,230.000000,12.300,1.100,3972.87500,12.50000,11.700000,,,,0,4045.00,0.64,0.60,,-1.021,4.62,0.120,3.36994,,,-21.50
30 Ari B b,4,1,0,335.10001000,0.990000,12.300,1.100,4392.41060,13.82000,13.000000,0.290000,,,0,6331.00,1.41,1.93,0.190,0.381,4.43,0.910,0.74300,38.3000,,12.89
4 UMa b,1,1,0,269.30000000,0.870000,12.700,1.130,2256.50000,7.10000,6.050000,0.432000,,,0,4415.00,18.11,1.23,-0.250,2.062,1.80,4.604,,,,14.62
42 Dra b,2,1,0,479.10000000,1.190000,13.000,1.160,1233.13000,3.88000,3.080000,0.380000,,,0,4200.00,22.03,0.98,-0.460,2.155,1.71,9.490,,1.0000,,31.79
47 UMa b,1,3,0,1078.00000000,2.100000,13.200,1.180,804.08000,2.53000,1.920000,0.032000,,,0,5872.00,1.21,1.06,0.040,0.198,4.30,6.480,0.83662,2.8000,,11.22
47 UMa c,1,3,0,2391.00000000,3.600000,14.200,1.270,171.62100,0.54000,0.329000,0.098000,,,0,5872.00,1.21,1.06,0.040,0.198,4.30,6.480,0.83662,2.8000,,11.22
47 UMa d,1,3,0,14002.00000000,11.600000,13.500,1.200,521.22000,1.64000,1.160000,0.160000,,,0,5872.00,1.21,1.06,0.040,0.198,4.30,6.480,0.83662,2.8000,,11.22
51 Eri b,3,1,0,11688.00000000,12.000000,13.400,1.190,635.66000,2.00000,1.450000,0.450000,,700,0,7295.00,1.49,1.65,-0.027,0.752,4.31,0.020,0.70712,65.1900,,17.30
51 Peg b,1,1,0,4.23078500,0.052700,14.300,1.270,146.20180,0.46000,0.275000,0.013000,,,0,5758.00,1.18,1.03,0.180,0.136,4.31,10.000,0.89374,2.2000,30.00,-33.25
55 Cnc b,2,5,0,14.65160000,0.113400,13.900,1.240,263.97850,0.83060,0.540000,0.000000,,700,0,5172.00,0.94,0.91,0.350,-0.197,4.43,5.500,1.41851,1.2300,38.80,27.25
55 Cnc c,2,5,0,44.39890000,0.237300,8.510,0.760,54.47380,0.17140,0.486000,0.030000,,,0,5172.00,0.94,0.91,0.350,-0.197,4.43,10.200,1.41851,1.2300,38.80,27.41
55 Cnc d,2,5,0,5574.20000000,5.957000,13.000,1.160,1232.49300,3.87800,3.080000,0.130000,,,0,5172.00,0.94,0.91,0.350,-0.197,4.43,5.500,1.41851,1.2300,38.80,27.25
55 Cnc e,2,5,0,0.73654740,0.015440,1.875,0.167,7.99000,0.02514,6.660000,0.050000,,1958,0,5172.00,0.94,0.91,0.350,-0.197,4.43,10.200,1.41000,1.2300,38.80,27.41
55 Cnc f,2,5,0,259.88000000,0.770800,7.590,0.677,44.81200,0.14100,0.563000,0.080000,,,0,5172.00,0.94,0.91,0.350,-0.197,4.43,10.200,1.41851,1.2300,38.80,27.41
6 Lyn b,1,1,0,934.30000000,2.110000,13.400,1.190,638.83830,2.01000,1.460000,0.073000,,,0,4938.00,5.20,1.44,-0.130,1.176,3.19,2.353,,1.3200,,39.70
61 Vir b,1,3,0,4.21500000,0.050201,2.110,0.188,5.10000,0.01600,2.980000,0.120000,,,0,5577.00,0.96,0.94,-0.010,-0.095,4.34,8.960,1.44933,1.9000,,-8.20
61 Vir c,1,3,0,38.02100000,0.217500,4.460,0.398,18.20000,0.05700,1.130000,0.140000,,,0,5577.00,0.96,0.94,-0.010,-0.095,4.34,8.960,1.44933,1.9000,,-8.20
61 Vir d,1,3,0,123.01000000,0.476000,5.110,0.456,22.90000,0.07200,0.943000,0.350000,,,0,5577.00,0.96,0.94,-0.010,-0.095,4.34,8.960,1.44933,1.9000,,-8.20
7 CMa b,1,2,0,735.10000000,1.758000,13.400,1.200,587.98550,1.85000,1.340000,0.060000,,,0,4826.00,4.87,1.34,0.210,1.063,3.19,4.300,,1.1500,,
7 CMa c,1,2,0,996.00000000,2.153000,13.900,1.240,276.51210,0.87000,0.566000,0.080000,,,0,4826.00,4.87,1.34,0.210,1.063,3.19,4.300,,1.1500,,
70 Vir b,1,1,0,116.68800000,0.481000,12.600,1.130,2380.45000,7.49000,6.540000,0.398800,,,0,5495.00,1.89,1.09,-0.090,0.451,3.95,7.770,0.19024,1.5600,,4.95
75 Cet b,2,1,0,691.90000000,2.100000,13.100,1.170,953.49000,3.00000,2.330000,0.117000,,,0,4846.00,10.50,2.49,0.000,1.730,2.63,,,1.7700,,-6.21
8 UMi b,1,1,0,93.40000000,0.490000,13.600,1.220,416.35730,1.31000,0.910000,0.060000,,,0,4847.00,10.30,1.44,-0.030,1.725,2.57,1.700,,3.6000,,-9.20
81 Cet b,1,1,0,952.70000000,2.500000,12.800,1.140,1684.40000,5.30000,4.410000,0.206000,,,0,4785.00,11.00,2.40,-0.060,1.778,2.35,,,1.8000,,9.25
91 Aqr b,3,1,0,181.40000000,0.700000,13.100,1.170,1017.00000,3.20000,2.490000,0.027000,,,0,4665.00,11.00,1.40,-0.030,1.692,2.52,3.560,,3.9000,,-25.75
AB Pic b,1,1,0,,260.000000,12.300,1.100,4290.50000,13.50000,12.700000,,,,0,5285.00,1.00,0.90,0.040,-0.226,4.53,0.030,1.12014,10.3500,,22.20
AU Mic b,1,1,0,8.46321000,0.066000,4.203,0.375,57.20940,0.18000,4.400000,0.100000,,,0,3700.00,0.75,0.50,,-1.046,4.57,0.022,2.74466,8.7000,4.86,-6.31
BD+03 2562 b,1,1,0,481.90000000,1.300000,12.700,1.130,2034.11200,6.40000,5.460000,0.200000,,,0,4095.00,32.35,1.14,-0.710,2.700,1.89,5.200,,2.7000,,50.88
BD+14 4559 b,1,1,0,268.94000000,0.780000,13.800,1.230,330.54320,1.04000,0.691000,0.290000,,,0,4864.00,0.86,0.49,0.170,-0.320,4.26,,1.73113,2.5000,,-44.30
BD+15 2375 b,1,1,0,153.22000000,0.576000,13.800,1.230,337.21763,1.06100,0.705000,0.001000,,,0,4649.00,8.95,1.08,-0.220,1.570,2.61,7.410,,2.5000,,-9.65
BD+15 2940 b,1,1,0,137.48000000,0.539000,13.700,1.230,352.78000,1.11000,0.754000,0.260000,,,0,4796.00,14.70,1.10,0.280,2.010,2.80,7.100,,2.3000,,36.71
BD+20 2457 b,1,2,0,379.63000000,1.050000,11.600,1.030,17668.16970,55.59000,62.200000,0.150000,,,0,4259.00,71.02,10.83,-0.790,3.170,1.77,,,2.5000,,145.77
BD+20 2457 c,1,2,0,621.99000000,2.010000,12.400,1.100,3963.17000,12.47000,11.400000,0.180000,,,0,4137.00,49.00,2.80,-1.000,3.170,1.51,,,2.5000,,145.77
BD+20 274 b,1,1,0,578.20000000,1.300000,13.000,1.160,1334.88600,4.20000,3.340000,0.210000,,,0,4296.00,17.30,0.80,-0.460,1.960,1.99,,,2.0000,,8.39
BD+20 594 b,1,1,0,41.68550000,0.241000,2.578,0.230,22.24810,0.07000,7.890000,0.000000,,546,0,5766.00,1.08,1.67,-0.150,-0.056,4.50,3.340,1.89000,3.3000,,-20.34
BD+45 564 b,1,1,0,307.88000000,0.830000,13.600,1.210,432.24663,1.36000,0.944000,0.120000,,,0,5004.00,0.81,0.81,-0.090,-0.399,4.22,,2.22951,2.0000,,-6.82
BD+48 738 b,1,1,0,392.60000000,1.000000,13.900,1.240,289.22530,0.91000,0.592000,0.200000,,,0,4414.00,11.00,0.74,-0.200,1.690,2.24,,,1.0000,,-5.81
BD+48 740 b,1,1,0,733.00000000,1.700000,13.500,1.200,540.31100,1.70000,1.210000,0.760000,,,0,4534.00,10.33,1.09,-0.130,1.640,2.48,,,0.7000,746.00,-45.93
BD+49 828 b,1,1,0,2590.00000000,4.200000,13.500,1.210,508.50000,1.60000,1.140000,0.350000,,,0,4943.00,7.60,1.52,-0.190,1.470,2.85,2.340,,1.7000,,3.61
BD+55 362 b,1,1,0,265.59000000,0.780000,14.000,1.250,228.83645,0.72000,0.458000,0.270000,,,0,5012.00,0.90,0.91,0.180,-0.313,4.09,,1.66486,2.0000,,-25.65
BD+63 1405 b,1,1,0,1198.48000000,2.060000,13.000,1.160,1258.60049,3.96000,3.150000,0.880000,,,0,5000.00,0.80,0.82,-0.090,-0.413,4.20,,2.29955,2.1000,,-15.33
BD-00 4475 b,1,1,0,723.20000000,1.480000,12.000,1.070,7961.60160,25.05000,25.300000,0.390000,,,0,5040.00,0.84,0.81,-0.140,-0.350,4.25,,2.05330,3.0000,,23.58
BD-06 1339 b,1,2,0,3.87280000,0.042800,2.850,0.254,8.50000,0.02700,2.020000,0.000000,,,0,4324.00,0.69,0.70,-0.140,-1.022,4.74,4.400,2.74700,0.5700,,23.62
BD-06 1339 c,1,2,0,125.94000000,0.435000,8.380,0.747,53.00000,0.17000,0.495000,0.310000,,,0,4324.00,0.69,0.70,-0.140,-1.022,4.74,4.400,2.74700,0.5700,,23.62
BD-08 2823 b,1,2,0,5.60000000,0.060000,3.610,0.322,12.71320,0.04000,1.480000,0.150000,,,0,4816.00,0.71,0.50,-0.060,-0.626,4.43,4.500,3.31801,1.4000,,53.34
BD-08 2823 c,1,2,0,237.60000000,0.680000,12.500,1.110,104.00000,0.33000,0.293000,0.190000,,,0,4746.00,0.72,0.74,-0.070,-0.626,4.13,4.500,3.31801,1.4000,,53.34
BD-10 3166 b,1,1,0,3.48777000,0.040000,14.100,1.260,187.51970,0.59000,0.368000,0.020000,,,0,5393.00,0.91,1.47,0.380,-0.191,4.69,1.000,1.53276,0.9200,,26.40
BD-11 4672 b,1,2,0,1634.00000000,2.360000,14.100,1.250,206.58950,0.65000,0.405000,0.050000,,,0,4550.00,0.64,0.65,-0.350,-0.804,4.64,7.400,3.53000,1.0000,25.00,-87.30
BD-11 4672 c,1,2,0,74.20000000,0.300000,4.040,0.360,15.37000,0.04836,1.280000,0.400000,,,0,4550.00,0.64,0.65,-0.350,-0.804,4.64,7.400,3.53000,1.0000,25.00,-87.30
BD-13 2130 b,1,1,0,714.29999000,1.660000,12.500,1.110,3108.37740,9.78000,8.750000,0.210000,,,0,4545.00,19.17,2.12,-0.080,2.043,2.20,0.740,,,,18.31
BD-17 63 b,1,1,0,655.60000000,1.340000,12.800,1.150,1620.90000,5.10000,4.250000,0.540000,,,0,4714.00,0.69,0.74,-0.030,-0.678,4.26,4.300,2.75844,1.5000,,3.40
CFBDSIR J145829+101343 b,1,1,0,10037.50000000,2.600000,12.400,1.110,3337.10000,10.50000,9.620000,,,370,0,580.50,,0.02,,,4.72,,,,,
CFHTWIR-Oph 98 b,1,1,0,8040000.00000000,200.000000,20.849,1.860,2479.06157,7.80000,1.500000,,,1800,0,2320.00,0.24,0.01,,-2.850,3.85,0.003,,,,
CHXR 73 b,1,1,0,,210.000000,12.300,1.100,3994.48600,12.56900,11.800000,,,,0,3099.00,,0.35,,,,0.002,,,,
CI Tau b,1,1,0,8.98910000,,12.400,1.110,3686.82800,11.60000,10.600000,0.250000,,,0,3807.00,1.88,0.90,,-0.108,,0.003,,,,18.00
CT Cha b,1,1,0,,440.000000,24.660,2.200,5403.00000,17.00000,1.980000,,,2600,0,4403.00,1.68,,-0.560,-0.102,3.66,0.002,,13.9700,,
CoRoT-1 b,1,1,0,1.50895570,0.027520,16.700,1.490,327.35000,1.03000,0.380000,0.000000,,1898,0,5950.00,1.11,0.95,-0.300,0.298,4.25,1.600,0.93000,5.2000,,23.35
CoRoT-10 b,1,1,0,13.24060000,0.105500,10.870,0.970,874.00000,2.75000,3.700000,0.530000,,600,0,5075.00,0.79,0.89,0.260,-0.726,4.65,3.000,3.32000,2.0000,,15.33
CoRoT-11 b,1,1,0,2.99433000,0.043600,16.030,1.430,740.51000,2.33000,0.990000,0.000000,,1657,0,6440.00,1.37,1.27,-0.030,0.378,4.22,2.000,0.69000,40.0000,,-1.34
CoRoT-12 b,1,1,0,2.82804200,0.040160,16.140,1.440,291.43800,0.91700,0.411000,0.070000,,1442,0,5675.00,1.12,1.08,0.160,0.070,4.38,6.300,1.08000,1.0000,,
CoRoT-13 b,1,1,0,4.03519000,0.051000,9.920,0.885,415.70400,1.30800,2.340000,0.000000,,1700,0,5945.00,1.01,1.09,0.010,0.073,4.46,1.635,1.46800,4.0000,,22.45
CoRoT-14 b,1,1,0,1.51214000,0.027000,12.220,1.090,2415.40000,7.60000,7.300000,0.000000,,1952,0,6035.00,1.21,1.13,0.050,0.119,4.35,4.200,0.91000,9.0000,,
CoRoT-16 b,1,1,0,5.35227000,0.061800,13.110,1.170,170.03200,0.53500,0.440000,0.330000,,,0,5650.00,1.19,1.10,0.190,-0.435,4.36,6.730,0.93000,1.0000,,
CoRoT-17 b,1,1,0,3.76810000,0.046100,11.430,1.020,772.29000,2.43000,2.820000,0.000000,,1626,0,5740.00,1.59,1.04,0.000,0.134,4.40,10.700,0.32000,4.5000,,54.77
CoRoT-18 b,1,1,0,1.90006930,0.029500,14.680,1.310,1102.82000,3.47000,2.200000,0.080000,,1550,0,5440.00,1.00,0.95,-0.100,-0.170,4.40,0.032,1.35000,8.0000,5.40,29.55
CoRoT-19 b,1,1,0,3.89713000,0.051800,14.460,1.290,352.78000,1.11000,0.710000,0.047000,,2000,0,6090.00,1.65,1.21,-0.020,0.544,4.07,5.000,0.38000,6.0000,,24.16
CoRoT-2 b,2,1,0,1.74299350,0.027980,16.432,1.466,1102.82000,3.47000,1.470000,0.014300,,1521,1,5625.00,0.91,0.96,0.040,-0.131,4.53,2.700,1.81400,10.8700,4.52,23.25
CoRoT-20 b,1,2,0,9.24285000,0.090000,9.416,0.840,1366.66900,4.30000,8.870000,0.590000,,1024,0,5880.00,1.02,1.14,0.140,0.170,4.35,0.100,1.51000,4.5000,,60.62
CoRoT-20 c,1,2,0,1675.00000000,2.900000,12.200,1.090,5403.11000,17.00000,16.400000,0.600000,,,0,4947.50,1.37,1.14,0.140,0.006,4.35,0.100,1.51000,4.5000,,60.62
CoRoT-21 b,1,1,0,2.72474000,0.041700,14.572,1.300,718.29580,2.26000,1.360000,0.000000,,,0,6200.00,1.95,1.29,0.000,0.705,3.70,4.100,0.25500,11.0000,,101.00
CoRoT-22 b,1,1,0,9.75598000,0.092000,4.880,0.435,12.20000,0.03800,0.249000,0.077000,,885,0,5939.00,1.14,1.10,0.170,0.014,4.36,3.300,1.02700,4.0000,,
CoRoT-23 b,1,1,0,3.63130000,0.048000,11.770,1.050,889.90000,2.80000,3.000000,0.160000,,1660,0,5900.00,1.61,1.14,0.050,0.087,4.30,7.200,0.50000,9.0000,,-35.18
CoRoT-24 b,1,2,0,5.11340000,0.056000,3.700,0.330,5.70000,0.01800,0.900000,0.000000,,1070,0,4950.00,0.86,0.91,0.300,-0.601,4.55,11.000,1.94863,2.0000,,51.37
CoRoT-24 c,1,2,0,11.75900000,0.098000,5.000,0.440,28.00000,0.08800,1.300000,0.000000,,850,0,4950.00,0.86,0.91,0.300,-0.601,4.55,11.000,1.94863,2.0000,,51.37
CoRoT-25 b,1,1,0,4.86069000,0.057800,12.110,1.080,85.81000,0.27000,0.150000,0.000000,,1330,0,6040.00,1.19,1.09,-0.010,0.141,4.31,4.500,0.64637,4.3000,,-15.42
CoRoT-26 b,1,1,0,4.20474000,0.052600,14.120,1.260,165.26000,0.52000,0.280000,0.000000,,1600,0,5590.00,1.79,1.09,0.010,0.451,3.99,8.600,,2.0000,,15.51
CoRoT-27 b,1,1,0,3.57532000,0.047600,11.287,1.007,3302.11000,10.39000,12.600000,0.065000,,1500,0,5900.00,1.08,1.05,-0.100,-0.166,4.40,4.210,1.24000,4.0000,,-4.09
CoRoT-28 b,1,1,0,5.20851000,0.060300,10.705,0.955,153.82972,0.48400,0.690000,0.047000,,,0,5150.00,1.78,1.01,0.150,0.388,3.60,12.000,0.27000,3.0000,,
CoRoT-29 b,1,1,0,2.85057000,0.038600,10.088,0.900,270.15550,0.85000,1.450000,0.082000,,,0,5260.00,0.90,0.97,0.200,-0.094,4.30,4.500,1.82500,3.5000,,
CoRoT-3 b,1,1,0,4.25680000,0.057830,11.320,1.010,6883.91000,21.66000,26.400000,0.000000,,1695,0,6740.00,1.56,1.37,0.140,0.391,4.22,2.200,0.43100,17.0000,,-56.16
CoRoT-30 b,1,1,0,9.06005000,0.084400,11.310,1.009,921.70700,2.90000,3.450000,0.007000,,,0,5650.00,0.91,0.98,0.020,-0.197,4.40,3.000,1.54162,4.3000,,-34.93
CoRoT-31 b,1,1,0,4.62941000,0.058600,16.365,1.460,266.97720,0.84000,0.330000,0.020000,,,0,5700.00,2.15,1.25,0.000,0.398,3.85,4.700,0.15180,2.8000,,18.60
CoRoT-4 b,1,1,0,9.20205000,0.090000,13.340,1.190,228.83000,0.72000,0.525000,0.000000,,1074,0,6190.00,1.17,1.16,0.050,0.185,4.41,1.000,1.11000,6.4000,8.90,32.30
CoRoT-5 b,1,1,0,4.03789620,0.049470,15.558,1.388,148.42000,0.46700,0.217000,0.090000,,1438,0,6100.00,1.19,1.00,-0.250,0.180,4.19,6.900,1.01000,1.0000,,
CoRoT-6 b,1,1,0,8.88659300,0.085500,13.068,1.166,940.74000,2.96000,2.320000,0.100000,,1017,0,6090.00,1.02,1.05,-0.200,0.026,4.43,2.500,1.31000,7.6000,6.40,-18.24
CoRoT-7 b,1,2,0,0.85359163,0.017016,1.681,0.150,4.07661,0.01283,6.610000,0.000000,,1756,0,5275.00,0.83,0.82,0.050,-0.289,4.50,1.750,2.00000,3.5000,,31.17
CoRoT-7 c,1,2,0,3.69800000,0.046000,2.830,0.253,8.40000,0.02643,2.040000,0.000000,,,0,5256.00,0.86,0.90,0.060,-0.289,4.52,1.750,1.96324,3.5000,,31.17
CoRoT-8 b,1,1,0,6.21229000,0.063000,6.390,0.570,69.92000,0.22000,1.600000,0.000000,,870,0,5080.00,0.77,0.88,0.300,-0.400,4.58,3.000,2.70000,2.0000,,-37.47
CoRoT-9 b,2,1,0,95.27265600,0.402100,11.949,1.066,266.97720,0.84000,0.860000,0.133000,,420,0,5625.00,0.96,0.96,-0.010,-0.254,4.54,6.000,1.51000,3.5000,,19.82
CoRoTID 223977153 b,1,1,0,6.71837000,0.071000,6.389,0.570,47.67450,0.15000,1.100000,,132.26,938,0,5970.00,0.79,1.08,0.000,-0.155,4.67,,1.57283,3.2000,,
DE CVn b,2,1,0,4098.10000000,5.750000,12.400,1.100,3823.27330,12.02930,11.000000,0.000000,,,0,3579.00,0.42,0.51,,-1.574,4.80,,7.71066,,,
DENIS-P J082303.1-491201 b,1,1,0,246.36000000,0.360000,11.900,1.060,9057.77000,28.50000,29.500000,0.345000,,,0,,,0.07,,,,1.000,,,,
DH Tau b,1,1,0,,330.000000,30.264,2.700,3496.00000,11.00000,0.693000,,,2200,0,4371.00,0.27,0.33,,-0.212,4.00,0.001,0.37705,,,
DMPP-1 b,1,4,0,18.57000000,0.146200,5.290,0.472,24.27000,0.07636,0.901000,0.083000,,877,0,6196.00,1.26,1.21,,0.320,4.41,2.010,0.81281,3.4100,,28.61
DMPP-1 c,1,4,0,6.58400000,0.073300,3.060,0.273,9.60000,0.03020,1.840000,0.057000,,1239,0,6196.00,1.26,1.21,,0.320,4.41,2.010,0.81281,3.4100,,28.61
DMPP-1 d,1,4,0,2.88200000,0.042200,1.650,0.147,3.35000,0.01054,4.100000,0.070000,,1632,0,6196.00,1.26,1.21,,0.320,4.41,2.010,0.81281,3.4100,,28.61
DMPP-1 e,1,4,0,5.51600000,0.065100,1.860,0.166,4.13000,0.01299,3.530000,0.070000,,1314,0,6196.00,1.26,1.21,,0.320,4.41,2.010,0.81281,3.4100,,28.61
DMPP-2 b,1,1,0,5.20720000,0.066400,14.300,1.280,138.89171,0.43700,0.261000,0.078000,,1000,0,6500.00,1.78,1.44,,0.104,4.10,2.000,0.24354,5.1000,,8.27
DMPP-3 A b,2,1,0,6.67320000,0.066200,1.410,0.126,2.58000,0.00812,5.060000,0.140000,,854,0,5138.00,0.91,0.87,0.180,-0.293,4.30,10.900,,1.9700,21.80,34.08
DP Leo b,2,1,0,10220.00000000,8.190000,12.700,1.140,1995.88832,6.28000,5.350000,0.390000,,,0,13500.00,0.01,0.69,,-2.400,,,,,,
DS Tuc A b,2,1,0,8.13826800,,5.700,0.509,413.17900,1.30000,,0.000000,145.10,850,0,5428.00,0.96,1.01,0.000,-0.140,4.60,0.045,2.40000,17.8000,2.85,8.05
EPIC 201170410.02,1,1,0,6.79870000,0.034900,1.047,0.093,1.15000,0.00360,5.510000,0.000000,,,0,3648.00,0.28,0.29,-0.048,-1.900,5.00,,,,,
EPIC 201238110 b,1,1,0,28.16560000,,1.870,0.167,4.16000,0.01310,3.500000,,,,0,3587.00,0.37,0.41,,-1.508,4.78,,6.73294,,,
EPIC 201497682 b,1,1,0,2.13174000,,0.692,0.062,0.26000,0.00082,4.310000,,,,0,4991.00,0.55,0.78,-0.089,-0.766,4.63,,3.22926,,,
EPIC 201615463 c,1,2,0,3.80464000,,1.220,0.109,1.98000,0.00624,5.990000,,,,0,5942.50,1.60,1.07,-0.051,0.458,4.09,,0.42293,,,
EPIC 201754305 d,1,3,0,2.71578000,,1.030,0.092,1.08000,0.00340,5.430000,,,,0,4761.00,0.54,0.67,-0.330,-0.761,4.63,,2.95996,2.0000,,
EPIC 201757695.02,1,1,0,2.04780000,0.029600,0.908,0.081,0.68800,0.00217,5.050000,0.000000,,,0,4520.00,0.66,0.73,-0.003,-0.364,4.66,,,,,
EPIC 201833600 c,1,2,0,3.96151000,,1.000,0.089,0.97200,0.00306,5.340000,,,,0,4292.67,0.63,0.61,-0.113,-0.874,4.74,,2.55179,,,
EPIC 201841433 b,1,1,0,4.16980000,0.035000,1.040,0.093,1.12000,0.00352,5.470000,,,,0,5053.00,0.63,0.80,0.000,-0.635,4.59,,2.65207,,,
EPIC 205950854 c,1,2,0,8.05072200,,1.310,0.117,2.27000,0.00714,5.550000,,,961,0,5502.70,0.83,0.88,-0.130,-0.176,4.39,,1.27040,,,-10.09
EPIC 206024342 b,1,1,0,4.50756000,,1.700,0.152,3.53000,0.01110,3.950000,,,,0,5759.00,0.82,0.93,,-0.170,4.59,,2.38280,,,
EPIC 206032309 b,1,1,0,2.87814000,,1.010,0.090,1.01000,0.00317,5.390000,,,,0,3489.00,0.37,0.22,,-1.730,4.85,,9.77858,,,
EPIC 206042996 b,1,1,0,5.29711000,,1.620,0.145,3.26000,0.01020,4.210000,,,,0,4055.00,0.67,0.56,,-0.980,4.58,,2.90458,,,
EPIC 206215704 b,1,1,0,2.25372000,,0.900,0.080,0.66600,0.00210,5.020000,,,,0,3467.00,0.37,0.41,,-2.088,4.99,,19.87982,,,
EPIC 206317286 b,1,1,0,1.58252000,,0.960,0.086,0.84000,0.00264,5.220000,,,,0,4864.00,0.67,0.71,,-0.593,4.57,,2.51975,,,
EPIC 211822797 b,1,1,0,21.16986100,0.131000,1.980,0.177,4.58000,0.01440,3.240000,0.060000,3.50,,0,4148.21,0.57,0.66,0.140,-1.153,4.65,0.790,3.87972,2.6000,14.60,34.85
EPIC 211945201 b,1,1,0,19.49221000,0.149300,5.760,0.514,27.00000,0.08495,0.650000,0.000000,,817,0,6069.00,1.39,1.17,0.100,0.373,4.22,3.990,2.25300,4.0000,,1.26
EPIC 212297394 b,1,1,0,2.28943000,,1.323,0.118,2.31000,0.00727,5.480000,,,,0,4987.49,0.75,0.83,,-0.505,4.58,,2.50384,,,
EPIC 212424622 b,1,1,0,18.09830000,,2.170,0.194,5.35000,0.01680,2.880000,,,,0,5782.33,1.22,1.11,,0.179,4.30,,0.84195,,,
EPIC 212499991 b,1,1,0,34.88500000,,1.600,0.143,3.19000,0.01000,4.280000,,,,0,4982.79,0.76,0.91,,-0.497,4.61,,2.81669,,,
EPIC 212587672 b,1,1,0,15.28410000,,1.120,0.100,1.46000,0.00459,5.710000,,,,0,5864.75,0.98,0.95,-0.210,0.006,4.54,,1.85888,,,
EPIC 212737443 b,1,2,0,13.60300000,0.098000,2.586,0.231,7.20000,0.02270,2.290000,0.200000,,536,0,4684.00,0.67,0.69,-0.137,-0.751,4.62,,3.19000,,,-16.00
EPIC 212737443 c,1,2,0,65.55000000,0.280000,2.690,0.240,7.70000,0.02420,2.170000,0.200000,,316,0,4684.00,0.67,0.69,-0.137,-0.804,4.62,,3.19000,,,-16.00
